celltype_id,sample_id
12-erythroid-progenitor-cell-rp-high,fetal-liver-1.2
12-erythroid-progenitor-cell-rp-high,fetal-lung-1
12-erythroid-progenitor-cell-rp-high,fetal-lung-2
12-erythroid-progenitor-cell-rp-high,fetal-male-gonad-1
12-erythroid-progenitor-cell-rp-high,fetal-male-gonad-2
12-erythroid-progenitor-cell-rp-high,fetal-muscle-1
12-erythroid-progenitor-cell-rp-high,fetal-pancreas-1
12-erythroid-progenitor-cell-rp-high,fetal-pancreas-2
12-erythroid-progenitor-cell-rp-high,fetal-pancreas-3
12-erythroid-progenitor-cell-rp-high,fetal-rib-2
12-erythroid-progenitor-cell-rp-high,fetal-rib-3
12-erythroid-progenitor-cell-rp-high,fetal-skin-2
12-erythroid-progenitor-cell-rp-high,fetal-skin-3
12-erythroid-progenitor-cell-rp-high,fetal-spinal-cord-1
12-erythroid-progenitor-cell-rp-high,fetal-stomach-1
12-erythroid-progenitor-cell-rp-high,fetal-stomach-2
12-erythroid-progenitor-cell-rp-high,fetal-thymus-1
12-erythroid-progenitor-cell-rp-high,fetal-thymus-2
12-erythroid-progenitor-cell-rp-high,neonatal-adrenal-gland-1.1
12-erythroid-progenitor-cell-rp-high,neonatal-adrenal-gland-1.2
12-erythroid-progenitor-cell-rp-high,placenta-1
13-monocyte,adult-adipose-1
13-monocyte,adult-adrenal-gland-1
13-monocyte,adult-adrenal-gland-2
13-monocyte,adult-artery-1
13-monocyte,adult-bladder-1
13-monocyte,adult-bladder-2
13-monocyte,adult-bone-marrow-1
13-monocyte,adult-bone-marrow-2
13-monocyte,adult-brain-1
13-monocyte,adult-fallopian-tube-1
13-monocyte,adult-gall-bladder-1
13-monocyte,adult-gall-bladder-2
13-monocyte,adult-heart-1
13-monocyte,adult-heart-2
13-monocyte,adult-intestine-1
13-monocyte,adult-intestine-3
13-monocyte,adult-intestine-4
13-monocyte,adult-intestine-5
13-monocyte,adult-intestine-6
13-monocyte,adult-kidney-2
13-monocyte,adult-kidney-3
13-monocyte,adult-kidney-4.1
13-monocyte,adult-kidney-4.2
13-monocyte,adult-liver-1
13-monocyte,adult-liver-2
13-monocyte,adult-liver-4.1
13-monocyte,adult-liver-4.2
13-monocyte,adult-lung-1
13-monocyte,adult-lung-2
13-monocyte,adult-lung-3.1
13-monocyte,adult-lung-3.2
13-monocyte,adult-lung-3.3
